Houston Association of REALTORS,,,,,,MLS Summary Report,,,,,
2023,Aug,859,"$161,391 ","$85,000 ",$0 ,"2,012","9,406",925,103,87.90%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,20,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - Single Family: All(New and Existing),,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,"2,405","$1,887 ","$1,700 ",$101 ,"3,080","3,305","2,642",33,98.50%,
2021,Feb,"2,324","$1,927 ","$1,750 ",$102 ,"2,322","2,668","2,152",33,98.80%,
2021,Mar,"2,800","$1,944 ","$1,750 ",$102 ,"2,948","2,107","3,014",32,99.40%,
2021,Apr,"2,847","$1,965 ","$1,795 ",$105 ,"3,033","1,927","2,870",26,99.90%,
2021,May,"2,731","$2,025 ","$1,850 ",$106 ,"3,231","1,898","2,832",22,100.00%,
2021,Jun,"3,055","$2,115 ","$1,900 ",$109 ,"3,566","1,951","3,075",20,100.40%,
2021,Jul,"3,236","$2,162 ","$1,920 ",$110 ,"3,869","2,152","3,203",17,100.40%,
2021,Aug,"3,052","$2,156 ","$1,933 ",$110 ,"3,530","2,527","2,771",17,99.90%,
2021,Sep,"2,545","$2,119 ","$1,900 ",$110 ,"3,384","2,769","2,556",21,99.00%,
2021,Oct,"2,616","$2,091 ","$1,899 ",$109 ,"3,464","3,060","2,612",23,98.60%,
2021,Nov,"2,585","$2,041 ","$1,870 ",$108 ,"3,382","3,363","2,500",24,98.20%,
2021,Dec,"2,433","$2,042 ","$1,895 ",$108 ,"3,306","3,671","2,381",26,98.20%,
2022,Jan,"2,616","$2,069 ","$1,885 ",$111 ,"3,696","3,743","2,891",29,98.20%,
2022,Feb,"2,883","$2,052 ","$1,900 ",$109 ,"3,118","3,323","2,892",30,98.00%,
2022,Mar,"3,305","$2,077 ","$1,900 ",$111 ,"3,908","3,162","3,443",28,98.40%,
2022,Apr,"3,223","$2,163 ","$2,000 ",$113 ,"3,591","2,895","3,240",26,98.80%,
2022,May,"3,395","$2,240 ","$2,000 ",$115 ,"4,169","2,980","3,515",24,99.10%,
2022,Jun,"3,631","$2,277 ","$2,095 ",$117 ,"4,892","3,559","3,686",22,99.30%,
2022,Jul,"3,693","$2,295 ","$2,100 ",$117 ,"4,904","4,065","3,614",20,99.20%,
2022,Aug,"3,656","$2,310 ","$2,100 ",$117 ,"5,101","4,787","3,454",23,98.20%,
2022,Sep,"3,207","$2,187 ","$2,000 ",$115 ,"4,752","5,379","3,124",27,97.20%,
2022,Oct,"3,119","$2,182 ","$1,995 ",$114 ,"4,823","5,842","3,121",29,97.20%,
2022,Nov,"2,940","$2,115 ","$1,950 ",$113 ,"4,343","6,094","2,961",32,97.10%,
2022,Dec,"3,023","$2,156 ","$1,975 ",$113 ,"3,808","5,892","2,917",36,97.00%,
2023,Jan,"2,944","$2,170 ","$1,995 ",$114 ,"4,638","6,037","3,252",41,97.10%,
2023,Feb,"3,226","$2,153 ","$1,995 ",$115 ,"4,109","5,782","3,269",40,97.50%,
2023,Mar,"3,807","$2,148 ","$1,995 ",$114 ,"4,679","5,312","3,957",38,97.80%,
2023,Apr,"3,624","$2,216 ","$2,025 ",$117 ,"4,240","4,964","3,659",36,98.00%,
2023,May,"3,993","$2,259 ","$2,100 ",$118 ,"4,788","4,636","4,202",34,98.30%,
2023,Jun,"4,226","$2,343 ","$2,150 ",$120 ,"5,803","5,224","4,193",31,98.70%,
2023,Jul,"4,378","$2,366 ","$2,199 ",$121 ,"5,476","5,426","4,201",28,98.40%,
2023,Aug,"4,096","$2,344 ","$2,150 ",$120 ,"5,529","5,836","3,846",28,98.00%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,21,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - Single Family: Existing Home,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,"2,249","$1,891 ","$1,700 ",$101 ,"2,898","3,063","2,461",33,98.40%,
2021,Feb,"2,146","$1,935 ","$1,750 ",$101 ,"2,115","2,411","1,994",32,98.80%,
2021,Mar,"2,554","$1,938 ","$1,750 ",$102 ,"2,652","1,876","2,717",32,99.40%,
2021,Apr,"2,565","$1,958 ","$1,791 ",$104 ,"2,810","1,750","2,625",24,99.90%,
2021,May,"2,510","$2,027 ","$1,850 ",$106 ,"2,952","1,711","2,590",21,100.00%,
2021,Jun,"2,811","$2,120 ","$1,900 ",$109 ,"3,336","1,799","2,830",18,100.40%,
2021,Jul,"3,009","$2,163 ","$1,900 ",$110 ,"3,659","2,018","3,006",16,100.40%,
2021,Aug,"2,882","$2,161 ","$1,925 ",$110 ,"3,317","2,349","2,623",17,99.90%,
2021,Sep,"2,387","$2,108 ","$1,895 ",$109 ,"3,134","2,553","2,386",21,99.00%,
2021,Oct,"2,424","$2,078 ","$1,895 ",$108 ,"3,178","2,779","2,430",23,98.60%,
2021,Nov,"2,383","$2,030 ","$1,850 ",$108 ,"3,030","2,991","2,273",24,98.20%,
2021,Dec,"2,215","$2,037 ","$1,870 ",$107 ,"2,974","3,215","2,166",26,98.10%,
2022,Jan,"2,347","$2,064 ","$1,850 ",$110 ,"3,315","3,263","2,608",28,98.20%,
2022,Feb,"2,631","$2,046 ","$1,895 ",$108 ,"2,808","2,844","2,624",29,98.00%,
2022,Mar,"2,976","$2,069 ","$1,895 ",$110 ,"3,468","2,625","3,095",27,98.30%,
2022,Apr,"2,858","$2,157 ","$1,995 ",$112 ,"3,232","2,434","2,875",25,98.90%,
2022,May,"3,014","$2,246 ","$2,000 ",$115 ,"3,739","2,510","3,114",22,99.20%,
2022,Jun,"3,250","$2,281 ","$2,075 ",$117 ,"4,370","3,026","3,309",20,99.40%,
2022,Jul,"3,353","$2,292 ","$2,100 ",$117 ,"4,496","3,595","3,278",19,99.10%,
2022,Aug,"3,338","$2,307 ","$2,095 ",$116 ,"4,619","4,209","3,196",22,98.20%,
2022,Sep,"2,959","$2,187 ","$2,000 ",$115 ,"4,300","4,704","2,878",26,97.20%,
2022,Oct,"2,855","$2,167 ","$1,965 ",$113 ,"4,254","5,091","2,849",28,97.20%,
2022,Nov,"2,677","$2,115 ","$1,950 ",$112 ,"3,894","5,326","2,691",31,97.10%,
2022,Dec,"2,753","$2,154 ","$1,950 ",$113 ,"3,401","5,133","2,662",35,97.00%,
2023,Jan,"2,644","$2,165 ","$1,950 ",$113 ,"4,161","5,261","2,926",40,97.10%,
2023,Feb,"2,936","$2,151 ","$1,975 ",$114 ,"3,695","5,016","2,960",39,97.60%,
2023,Mar,"3,463","$2,144 ","$1,980 ",$114 ,"4,242","4,581","3,624",37,97.80%,
2023,Apr,"3,303","$2,209 ","$2,000 ",$116 ,"3,827","4,281","3,314",35,98.00%,
2023,May,"3,606","$2,254 ","$2,095 ",$117 ,"4,423","4,081","3,813",32,98.30%,
2023,Jun,"3,858","$2,352 ","$2,150 ",$119 ,"5,273","4,596","3,834",29,98.80%,
2023,Jul,"3,994","$2,379 ","$2,200 ",$121 ,"5,099","4,847","3,839",26,98.50%,
2023,Aug,"3,766","$2,346 ","$2,100 ",$120 ,"5,097","5,291","3,521",27,98.10%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,22,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - Single Family: New Construction,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,156,"$1,837 ","$1,708 ",$106 ,182,242,181,36,98.90%,
2021,Feb,178,"$1,840 ","$1,725 ",$106 ,207,257,158,38,98.40%,
2021,Mar,246,"$2,013 ","$1,700 ",$109 ,296,231,297,30,99.50%,
2021,Apr,282,"$2,027 ","$1,800 ",$111 ,223,177,245,41,99.80%,
2021,May,221,"$2,009 ","$1,925 ",$114 ,279,187,242,36,99.70%,
2021,Jun,244,"$2,055 ","$1,903 ",$115 ,230,152,245,32,100.20%,
2021,Jul,227,"$2,144 ","$2,000 ",$119 ,210,134,197,26,100.10%,
2021,Aug,170,"$2,077 ","$2,000 ",$119 ,213,178,148,18,99.70%,
2021,Sep,158,"$2,286 ","$2,050 ",$120 ,250,216,170,26,99.20%,
2021,Oct,192,"$2,262 ","$2,073 ",$118 ,286,281,182,22,98.60%,
2021,Nov,202,"$2,176 ","$2,000 ",$118 ,352,372,227,23,98.70%,
2021,Dec,218,"$2,087 ","$1,995 ",$117 ,332,456,215,29,98.60%,
2022,Jan,269,"$2,118 ","$1,995 ",$117 ,381,480,283,32,98.20%,
2022,Feb,252,"$2,122 ","$2,000 ",$116 ,310,479,268,38,97.90%,
2022,Mar,329,"$2,145 ","$2,050 ",$117 ,440,537,348,34,98.50%,
2022,Apr,365,"$2,215 ","$2,095 ",$117 ,359,461,365,34,98.50%,
2022,May,381,"$2,192 ","$2,095 ",$121 ,430,470,401,33,98.70%,
2022,Jun,381,"$2,245 ","$2,150 ",$123 ,522,533,377,33,98.90%,
2022,Jul,340,"$2,325 ","$2,200 ",$122 ,408,470,336,30,100.00%,
2022,Aug,318,"$2,348 ","$2,300 ",$125 ,482,578,258,28,98.20%,
2022,Sep,248,"$2,186 ","$2,100 ",$122 ,452,675,246,31,96.90%,
2022,Oct,264,"$2,336 ","$2,150 ",$124 ,569,751,272,33,97.00%,
2022,Nov,263,"$2,118 ","$2,050 ",$122 ,449,768,270,35,96.80%,
2022,Dec,270,"$2,173 ","$2,100 ",$119 ,407,759,255,45,96.20%,
2023,Jan,300,"$2,213 ","$2,170 ",$119 ,477,776,326,49,96.70%,
2023,Feb,290,"$2,177 ","$2,187 ",$122 ,414,766,309,53,96.90%,
2023,Mar,344,"$2,198 ","$2,100 ",$121 ,437,731,333,48,97.10%,
2023,Apr,321,"$2,278 ","$2,235 ",$122 ,413,683,345,52,97.60%,
2023,May,387,"$2,305 ","$2,250 ",$123 ,365,555,389,49,98.30%,
2023,Jun,368,"$2,252 ","$2,193 ",$124 ,530,628,359,48,97.50%,
2023,Jul,384,"$2,231 ","$2,150 ",$124 ,377,579,362,50,97.20%,
2023,Aug,330,"$2,326 ","$2,300 ",$128 ,432,545,325,45,96.50%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,23,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - TH/Condo: All(New and Existing),,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,532,"$1,609 ","$1,475 ",$113 ,886,"1,487",560,53,97.00%,
2021,Feb,483,"$1,637 ","$1,500 ",$113 ,616,"1,384",463,46,97.50%,
2021,Mar,621,"$1,721 ","$1,550 ",$116 ,789,"1,210",645,46,98.00%,
2021,Apr,594,"$1,685 ","$1,495 ",$117 ,722,"1,066",638,46,98.50%,
2021,May,660,"$1,721 ","$1,558 ",$121 ,791,977,684,41,98.90%,
2021,Jun,724,"$1,801 ","$1,600 ",$125 ,849,907,722,36,99.00%,
2021,Jul,735,"$1,759 ","$1,600 ",$122 ,883,876,743,34,99.40%,
2021,Aug,698,"$1,764 ","$1,600 ",$125 ,820,896,618,34,98.50%,
2021,Sep,537,"$1,792 ","$1,600 ",$127 ,692,938,502,32,98.70%,
2021,Oct,562,"$1,711 ","$1,550 ",$122 ,716,905,546,34,98.20%,
2021,Nov,500,"$1,742 ","$1,550 ",$122 ,679,939,485,37,97.40%,
2021,Dec,436,"$1,741 ","$1,550 ",$123 ,679,940,462,35,98.30%,
2022,Jan,546,"$1,807 ","$1,650 ",$123 ,763,931,573,39,97.90%,
2022,Feb,478,"$1,764 ","$1,600 ",$124 ,655,923,501,36,98.20%,
2022,Mar,622,"$1,854 ","$1,665 ",$126 ,715,799,639,36,98.70%,
2022,Apr,558,"$1,830 ","$1,699 ",$128 ,708,825,532,36,98.30%,
2022,May,610,"$1,951 ","$1,800 ",$132 ,782,760,678,31,98.70%,
2022,Jun,665,"$1,906 ","$1,724 ",$133 ,963,865,657,29,99.10%,
2022,Jul,689,"$1,925 ","$1,750 ",$132 ,959,985,659,24,98.90%,
2022,Aug,704,"$1,926 ","$1,700 ",$132 ,907,970,690,28,98.50%,
2022,Sep,564,"$1,940 ","$1,750 ",$131 ,888,"1,115",517,31,97.60%,
2022,Oct,521,"$1,898 ","$1,700 ",$128 ,891,"1,267",508,33,97.20%,
2022,Nov,474,"$1,793 ","$1,650 ",$129 ,825,"1,353",501,35,97.30%,
2022,Dec,553,"$1,817 ","$1,675 ",$128 ,695,"1,267",532,41,97.10%,
2023,Jan,520,"$1,894 ","$1,698 ",$129 ,893,"1,289",543,44,97.40%,
2023,Feb,529,"$1,902 ","$1,750 ",$129 ,717,"1,225",540,43,97.70%,
2023,Mar,599,"$1,858 ","$1,700 ",$132 ,835,"1,183",624,43,97.50%,
2023,Apr,546,"$1,968 ","$1,795 ",$130 ,829,"1,191",593,39,97.70%,
2023,May,737,"$2,001 ","$1,850 ",$133 ,967,"1,134",766,37,98.20%,
2023,Jun,772,"$2,048 ","$1,900 ",$136 ,"1,027","1,190",746,35,98.80%,
2023,Jul,713,"$1,960 ","$1,795 ",$134 ,999,"1,228",700,32,98.30%,
2023,Aug,706,"$1,969 ","$1,800 ",$134 ,"1,045","1,334",681,33,98.00%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,24,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - TH/Condo: Existing Home,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,505,"$1,602 ","$1,450 ",$113 ,831,"1,422",526,54,96.90%,
2021,Feb,447,"$1,626 ","$1,500 ",$113 ,578,"1,323",429,46,97.30%,
2021,Mar,579,"$1,705 ","$1,500 ",$117 ,736,"1,157",604,48,97.80%,
2021,Apr,554,"$1,690 ","$1,475 ",$118 ,679,"1,012",602,48,98.30%,
2021,May,625,"$1,714 ","$1,500 ",$121 ,754,933,648,42,98.80%,
2021,Jun,692,"$1,779 ","$1,600 ",$125 ,815,868,688,35,99.00%,
2021,Jul,702,"$1,740 ","$1,550 ",$123 ,852,835,712,34,99.40%,
2021,Aug,667,"$1,755 ","$1,550 ",$125 ,795,867,590,33,98.60%,
2021,Sep,518,"$1,783 ","$1,592 ",$127 ,666,907,484,32,98.70%,
2021,Oct,542,"$1,691 ","$1,500 ",$122 ,699,885,524,35,98.20%,
2021,Nov,487,"$1,734 ","$1,550 ",$122 ,660,911,477,37,97.40%,
2021,Dec,432,"$1,739 ","$1,538 ",$123 ,658,903,457,35,98.30%,
2022,Jan,530,"$1,783 ","$1,650 ",$122 ,738,894,554,39,98.00%,
2022,Feb,467,"$1,753 ","$1,599 ",$124 ,640,894,488,36,98.20%,
2022,Mar,599,"$1,838 ","$1,650 ",$126 ,678,754,619,36,98.80%,
2022,Apr,535,"$1,819 ","$1,650 ",$128 ,691,800,509,36,98.30%,
2022,May,594,"$1,941 ","$1,795 ",$132 ,759,734,658,31,98.60%,
2022,Jun,642,"$1,890 ","$1,700 ",$133 ,934,843,639,29,99.10%,
2022,Jul,677,"$1,919 ","$1,750 ",$132 ,934,951,647,24,99.00%,
2022,Aug,690,"$1,914 ","$1,700 ",$131 ,865,917,673,28,98.60%,
2022,Sep,544,"$1,925 ","$1,750 ",$131 ,853,"1,061",497,31,97.60%,
2022,Oct,505,"$1,892 ","$1,700 ",$128 ,847,"1,198",496,33,97.20%,
2022,Nov,456,"$1,779 ","$1,650 ",$129 ,786,"1,269",482,34,97.30%,
2022,Dec,524,"$1,799 ","$1,650 ",$128 ,666,"1,198",501,40,97.20%,
2023,Jan,498,"$1,883 ","$1,668 ",$129 ,854,"1,231",515,45,97.40%,
2023,Feb,505,"$1,887 ","$1,700 ",$129 ,674,"1,153",526,42,97.70%,
2023,Mar,571,"$1,840 ","$1,695 ",$132 ,795,"1,124",590,43,97.50%,
2023,Apr,523,"$1,944 ","$1,750 ",$130 ,800,"1,135",566,38,97.80%,
2023,May,695,"$1,970 ","$1,800 ",$133 ,928,"1,089",728,36,98.20%,
2023,Jun,750,"$2,036 ","$1,850 ",$135 ,996,"1,143",723,35,98.80%,
2023,Jul,690,"$1,950 ","$1,760 ",$134 ,963,"1,185",678,32,98.30%,
2023,Aug,679,"$1,958 ","$1,800 ",$134 ,999,"1,281",656,33,97.90%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,25,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - TH/Condo: New Construction,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,27,"$1,744 ","$1,545 ",$106 ,55,65,34,45,99.60%,
2021,Feb,36,"$1,764 ","$1,573 ",$102 ,38,61,34,39,100.10%,
2021,Mar,42,"$1,934 ","$1,568 ",$107 ,53,53,41,21,100.80%,
2021,Apr,40,"$1,610 ","$1,565 ",$103 ,43,54,36,26,100.70%,
2021,May,35,"$1,848 ","$1,620 ",$110 ,37,44,36,34,100.90%,
2021,Jun,32,"$2,279 ","$1,673 ",$128 ,34,39,34,43,100.20%,
2021,Jul,33,"$2,174 ","$2,000 ",$116 ,31,41,31,25,99.00%,
2021,Aug,31,"$1,960 ","$1,700 ",$110 ,25,29,28,67,98.20%,
2021,Sep,19,"$2,044 ","$2,100 ",$120 ,26,31,18,19,99.70%,
2021,Oct,20,"$2,269 ","$2,200 ",$121 ,17,20,22,17,99.90%,
2021,Nov,13,"$2,046 ","$2,000 ",$116 ,19,28,8,20,97.00%,
2021,Dec,4,"$1,926 ","$1,902 ",$117 ,21,37,5,21,100.70%,
2022,Jan,16,"$2,606 ","$2,500 ",$133 ,25,37,19,36,97.10%,
2022,Feb,11,"$2,264 ","$2,175 ",$122 ,15,29,13,47,97.90%,
2022,Mar,23,"$2,265 ","$2,100 ",$131 ,37,45,20,29,95.80%,
2022,Apr,23,"$2,088 ","$1,950 ",$130 ,17,25,23,31,98.20%,
2022,May,16,"$2,345 ","$2,345 ",$126 ,23,26,20,24,100.60%,
2022,Jun,23,"$2,360 ","$2,300 ",$139 ,29,22,18,22,99.20%,
2022,Jul,12,"$2,263 ","$2,250 ",$139 ,25,34,12,31,97.10%,
2022,Aug,14,"$2,495 ","$2,450 ",$144 ,42,53,17,26,96.20%,
2022,Sep,20,"$2,343 ","$2,425 ",$134 ,35,54,20,31,97.40%,
2022,Oct,16,"$2,086 ","$1,848 ",$132 ,44,69,12,35,97.30%,
2022,Nov,18,"$2,151 ","$2,088 ",$125 ,39,84,19,54,95.40%,
2022,Dec,29,"$2,155 ","$2,295 ",$124 ,29,69,31,53,95.70%,
2023,Jan,22,"$2,136 ","$2,200 ",$131 ,39,58,28,28,97.10%,
2023,Feb,24,"$2,206 ","$2,163 ",$133 ,43,72,14,64,97.00%,
2023,Mar,28,"$2,222 ","$2,300 ",$136 ,40,59,34,55,97.90%,
2023,Apr,23,"$2,501 ","$2,300 ",$139 ,29,56,27,45,95.80%,
2023,May,42,"$2,520 ","$2,500 ",$139 ,39,45,38,44,97.40%,
2023,Jun,22,"$2,442 ","$2,448 ",$144 ,31,47,23,25,99.80%,
2023,Jul,23,"$2,249 ","$2,250 ",$134 ,36,43,22,33,98.10%,
2023,Aug,26,"$2,229 ","$2,288 ",$126 ,46,53,25,14,100.50%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,26,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - Multifamily: All(New and Existing),,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,279,"$1,032 ",$989 ,$115 ,554,"1,246",285,50,96.70%,
2021,Feb,268,"$1,138 ","$1,050 ",$117 ,507,"1,261",282,53,97.80%,
2021,Mar,431,"$1,140 ","$1,090 ",$120 ,695,"1,202",429,50,98.40%,
2021,Apr,332,"$1,174 ","$1,113 ",$113 ,538,"1,121",338,48,98.30%,
2021,May,345,"$1,249 ","$1,150 ",$114 ,460,946,334,49,98.90%,
2021,Jun,351,"$1,253 ","$1,170 ",$126 ,563,870,363,49,99.30%,
2021,Jul,291,"$1,228 ","$1,175 ",$118 ,459,812,285,47,98.30%,
2021,Aug,333,"$1,233 ","$1,175 ",$120 ,472,828,319,38,98.70%,
2021,Sep,290,"$1,226 ","$1,100 ",$121 ,449,843,265,40,99.90%,
2021,Oct,232,"$1,159 ","$1,050 ",$113 ,352,805,245,36,99.40%,
2021,Nov,236,"$1,228 ","$1,150 ",$112 ,379,807,225,40,98.40%,
2021,Dec,240,"$1,251 ","$1,200 ",$127 ,349,726,232,53,98.70%,
2022,Jan,219,"$1,143 ","$1,050 ",$106 ,414,715,226,42,98.60%,
2022,Feb,239,"$1,259 ","$1,150 ",$119 ,437,789,240,39,99.30%,
2022,Mar,284,"$1,261 ","$1,115 ",$124 ,517,808,288,37,99.00%,
2022,Apr,250,"$1,256 ","$1,100 ",$120 ,456,744,279,34,98.50%,
2022,May,338,"$1,348 ","$1,250 ",$127 ,591,798,338,38,98.80%,
2022,Jun,296,"$1,297 ","$1,200 ",$127 ,620,834,306,33,98.80%,
2022,Jul,325,"$1,284 ","$1,200 ",$130 ,638,889,319,36,98.10%,
2022,Aug,394,"$1,343 ","$1,225 ",$129 ,573,859,379,37,98.80%,
2022,Sep,309,"$1,351 ","$1,250 ",$130 ,552,949,296,36,98.50%,
2022,Oct,254,"$1,318 ","$1,250 ",$125 ,564,986,258,42,98.90%,
2022,Nov,260,"$1,282 ","$1,200 ",$114 ,638,"1,114",262,38,97.90%,
2022,Dec,287,"$1,265 ","$1,200 ",$125 ,507,"1,079",285,46,97.90%,
2023,Jan,308,"$1,323 ","$1,250 ",$124 ,670,"1,182",333,46,99.60%,
2023,Feb,309,"$1,338 ","$1,250 ",$127 ,640,"1,207",309,47,98.30%,
2023,Mar,402,"$1,293 ","$1,200 ",$127 ,570,"1,083",405,43,98.70%,
2023,Apr,352,"$1,326 ","$1,272 ",$126 ,643,"1,121",378,48,98.20%,
2023,May,443,"$1,397 ","$1,350 ",$141 ,932,"1,343",457,43,98.30%,
2023,Jun,469,"$1,386 ","$1,300 ",$137 ,"1,080","1,533",480,42,98.80%,
2023,Jul,493,"$1,406 ","$1,350 ",$132 ,898,"1,647",480,34,99.00%,
2023,Aug,434,"$1,326 ","$1,275 ",$133 ,918,"1,747",399,43,98.70%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,27,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Rentals - Multifamily: Existing Home,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,100 Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,273,"$1,025 ",$975 ,$115 ,501,"1,079",278,49,96.60%,
2021,Feb,251,"$1,125 ","$1,015 ",$116 ,454,"1,083",260,54,97.70%,
2021,Mar,402,"$1,120 ","$1,058 ",$120 ,604,"1,022",402,51,98.40%,
2021,Apr,314,"$1,151 ","$1,095 ",$113 ,450,937,318,48,98.10%,
2021,May,330,"$1,231 ","$1,125 ",$114 ,401,767,307,49,98.80%,
2021,Jun,314,"$1,221 ","$1,100 ",$125 ,452,679,326,47,99.30%,
2021,Jul,259,"$1,202 ","$1,125 ",$116 ,405,653,264,49,98.20%,
2021,Aug,307,"$1,210 ","$1,150 ",$118 ,415,647,294,40,98.80%,
2021,Sep,270,"$1,199 ","$1,085 ",$119 ,406,678,246,41,99.90%,
2021,Oct,209,"$1,132 ","$1,000 ",$111 ,311,659,220,36,99.40%,
2021,Nov,218,"$1,203 ","$1,100 ",$112 ,320,640,204,41,98.40%,
2021,Dec,196,"$1,217 ","$1,145 ",$126 ,314,626,193,56,98.40%,
2022,Jan,199,"$1,122 ","$1,000 ",$106 ,359,607,209,43,98.60%,
2022,Feb,227,"$1,246 ","$1,140 ",$118 ,396,677,230,39,99.30%,
2022,Mar,271,"$1,232 ","$1,100 ",$123 ,406,661,274,38,99.00%,
2022,Apr,231,"$1,234 ","$1,050 ",$120 ,406,636,254,33,98.50%,
2022,May,317,"$1,331 ","$1,245 ",$129 ,534,691,319,38,98.90%,
2022,Jun,278,"$1,282 ","$1,200 ",$127 ,534,718,292,32,98.80%,
2022,Jul,311,"$1,273 ","$1,200 ",$129 ,554,759,300,36,98.00%,
2022,Aug,363,"$1,270 ","$1,200 ",$126 ,520,743,352,34,98.70%,
2022,Sep,288,"$1,333 ","$1,233 ",$130 ,520,846,277,36,98.50%,
2022,Oct,243,"$1,306 ","$1,200 ",$123 ,520,876,241,42,98.80%,
2022,Nov,247,"$1,257 ","$1,150 ",$112 ,591,"1,007",249,38,97.90%,
2022,Dec,270,"$1,240 ","$1,200 ",$125 ,485,978,266,45,98.00%,
2023,Jan,291,"$1,302 ","$1,250 ",$123 ,615,"1,070",318,45,99.70%,
2023,Feb,293,"$1,313 ","$1,200 ",$127 ,605,"1,103",293,44,98.40%,
2023,Mar,377,"$1,269 ","$1,150 ",$126 ,528,999,381,43,98.50%,
